customer_id,geography,employment_type,monthly_income_inr,bureau_band,cashflow_consistency,balance_volatility,spending_shock_flag
C100048,Tier-2,Salaried,59200,Prime,0.553,0.557,0
C100049,Metro,Salaried,39500,Subprime,0.847,0.268,0
C100050,Metro,Salaried,38800,Prime,0.619,0.518,0
C100051,Metro,Informal,28600,Prime,0.331,0.81,0
C100052,Tier-3,Self-employed,58200,Prime,0.551,0.365,0
C100053,Tier-2,Salaried,37100,Thin-file,0.737,0.341,0
C100054,Tier-2,Informal,15300,Thin-file,0.43,0.738,0
C100055,Tier-3,Salaried,28100,Prime,0.78,0.218,0
C100056,Tier-2,Salaried,51300,Near-prime,0.7,0.267,0
C100057,Tier-2,Salaried,21000,Near-prime,0.457,0.415,0
C100058,Metro,Self-employed,42700,Prime,0.511,0.447,1
C100059,Metro,Informal,15500,Subprime,0.544,0.484,0
C100060,Tier-2,Salaried,22200,Prime,0.838,0.324,0
C100061,Tier-2,Gig,9700,Near-prime,0.582,0.322,0
C100062,Tier-2,Salaried,30300,Prime,0.733,0.433,0
C100063,Tier-3,Salaried,51800,Prime,0.828,0.231,0
C100064,Tier-2,Gig,9500,Thin-file,0.444,0.457,0
C100065,Tier-2,Gig,29600,Subprime,0.456,0.658,0
C100066,Tier-2,Self-employed,25800,Prime,0.528,0.588,0
C100067,Metro,Salaried,29500,Prime,0.889,0.183,0
C100068,Metro,Salaried,55500,Prime,0.428,0.663,0
C100069,Tier-2,Gig,41800,Near-prime,0.519,0.604,0
C100070,Metro,Self-employed,84500,Prime,0.619,0.448,0
C100071,Tier-2,Self-employed,39200,Prime,0.63,0.513,0
C100072,Tier-3,Salaried,30900,Near-prime,0.753,0.174,0
C100073,Metro,Gig,34400,Thin-file,0.664,0.423,0
C100074,Metro,Salaried,145000,Subprime,0.769,0.319,0
C100075,Metro,Self-employed,37700,Prime,0.576,0.584,0
C100076,Metro,Gig,48100,Near-prime,0.588,0.532,0
C100077,Tier-2,Salaried,29200,Prime,0.557,0.454,1
C100078,Tier-2,Self-employed,23800,Near-prime,0.509,0.601,1
C100079,Tier-3,Self-employed,64000,Prime,0.741,0.226,0
C100080,Tier-2,Self-employed,34600,Prime,0.64,0.318,0
C100081,Tier-2,Informal,21000,Thin-file,0.252,0.791,0
C100082,Tier-3,Self-employed,36900,Subprime,0.944,0.05,0
C100083,Metro,Salaried,31800,Thin-file,0.742,0.283,0
C100084,Metro,Salaried,39100,Near-prime,0.664,0.452,0
C100085,Metro,Self-employed,32200,Subprime,0.418,0.725,0
C100086,Tier-2,Salaried,44300,Prime,0.94,0.05,0
C100087,Tier-2,Gig,27300,Near-prime,0.382,0.461,0
C100088,Metro,Salaried,36300,Near-prime,0.713,0.24,0
C100089,Tier-2,Salaried,95100,Thin-file,0.807,0.208,0
C100090,Metro,Salaried,47000,Subprime,0.503,0.777,0
C100091,Tier-2,Gig,24300,Near-prime,0.61,0.368,0
C100092,Tier-2,Gig,42400,Thin-file,0.387,0.837,0
C100093,Tier-2,Self-employed,23300,Near-prime,0.744,0.381,0
C100094,Metro,Salaried,37600,Prime,0.801,0.243,0
C100095,Tier-2,Informal,21600,Subprime,0.583,0.452,0
C100096,Tier-2,Gig,11900,Thin-file,0.531,0.637,0
C100097,Metro,Salaried,42800,Near-prime,0.898,0.096,1
C100098,Metro,Gig,72600,Thin-file,0.564,0.678,0
C100099,Tier-3,Informal,36100,Thin-file,0.427,0.683,0
C100100,Tier-3,Salaried,47800,Subprime,0.809,0.211,0
C100101,Tier-2,Salaried,65000,Prime,0.378,0.688,0
C100102,Metro,Self-employed,53700,Prime,0.534,0.63,0
C100103,Tier-3,Self-employed,23800,Near-prime,0.758,0.471,0
C100104,Tier-3,Gig,40500,Near-prime,0.338,0.752,0
C100105,Tier-2,Self-employed,22500,Near-prime,0.529,0.475,1
C100106,Tier-2,Salaried,59000,Prime,0.567,0.509,0
C100107,Metro,Salaried,37800,Prime,0.534,0.405,0
C100108,Metro,Self-employed,35200,Prime,0.554,0.573,0
C100109,Tier-3,Salaried,40600,Thin-file,0.817,0.17,0
C100110,Tier-2,Salaried,95300,Near-prime,0.727,0.279,0
C100111,Metro,Salaried,90500,Prime,0.599,0.544,0
C100112,Metro,Gig,33600,Near-prime,0.349,0.791,0
C100113,Tier-2,Salaried,39300,Prime,0.636,0.329,1
C100114,Metro,Salaried,67600,Subprime,0.723,0.353,1
C100115,Tier-3,Gig,35800,Near-prime,0.378,0.683,0
C100116,Tier-2,Salaried,17300,Prime,0.904,0.085,0
C100117,Tier-2,Gig,21900,Near-prime,0.408,0.666,0
C100118,Tier-2,Salaried,23800,Prime,0.698,0.353,0
C100119,Tier-2,Gig,21000,Subprime,0.57,0.457,0
C100120,Tier-2,Salaried,21700,Thin-file,0.497,0.646,0
C100121,Tier-2,Salaried,16900,Subprime,0.958,0.05,0
C100122,Metro,Salaried,26300,Prime,0.869,0.142,0
C100123,Tier-2,Informal,14800,Subprime,0.535,0.456,0
C100124,Metro,Gig,37600,Near-prime,0.405,0.515,0
C100125,Tier-2,Salaried,26500,Prime,0.649,0.42,0
C100126,Metro,Salaried,32200,Prime,0.682,0.282,0
C100127,Metro,Salaried,56800,Prime,0.711,0.281,0
C100128,Metro,Salaried,54100,Prime,0.926,0.191,0
C100129,Tier-2,Salaried,82100,Prime,0.508,0.385,0
C100130,Metro,Gig,43900,Near-prime,0.671,0.435,0
C100131,Tier-3,Salaried,20100,Thin-file,0.734,0.461,1
C100132,Tier-2,Gig,17100,Thin-file,0.642,0.44,0
C100133,Metro,Salaried,66600,Prime,0.812,0.318,0
C100134,Tier-2,Gig,15500,Subprime,0.585,0.729,0
C100135,Metro,Self-employed,37200,Prime,0.726,0.35,0
C100136,Tier-3,Salaried,14800,Prime,0.746,0.345,0
C100137,Tier-2,Gig,12900,Subprime,0.379,0.778,0
C100138,Tier-3,Salaried,56200,Prime,0.644,0.357,1
C100139,Metro,Gig,31100,Subprime,0.627,0.351,0
C100140,Tier-2,Gig,17400,Near-prime,0.703,0.346,0
C100141,Tier-2,Informal,15200,Near-prime,0.337,0.684,0
C100142,Tier-3,Gig,41900,Thin-file,0.647,0.282,0
C100143,Tier-2,Salaried,28400,Near-prime,0.888,0.05,0
C100144,Tier-2,Self-employed,42700,Thin-file,0.406,0.507,0
C100145,Metro,Gig,42700,Near-prime,0.623,0.376,0
C100146,Metro,Salaried,91100,Thin-file,0.685,0.258,0
C100147,Tier-2,Self-employed,23600,Near-prime,0.8,0.307,0
C100148,Tier-2,Salaried,20300,Thin-file,0.796,0.398,0
C100149,Metro,Self-employed,26200,Prime,0.93,0.17,0
C100150,Tier-3,Salaried,44300,Thin-file,0.762,0.217,0
C100151,Tier-3,Salaried,78100,Thin-file,0.686,0.579,1
C100152,Metro,Informal,33300,Near-prime,0.507,0.485,0
C100153,Tier-2,Gig,17200,Near-prime,0.608,0.4,0
C100154,Metro,Salaried,81200,Near-prime,0.843,0.181,0
C100155,Tier-2,Salaried,30900,Prime,0.719,0.427,0
C100156,Metro,Gig,19800,Near-prime,0.61,0.359,0
C100157,Tier-2,Salaried,32900,Thin-file,0.616,0.604,0
C100158,Tier-2,Self-employed,26600,Subprime,0.314,0.547,0
C100159,Tier-3,Gig,14100,Thin-file,0.556,0.425,0
C100160,Metro,Salaried,82400,Thin-file,0.98,0.161,0
C100161,Tier-3,Salaried,25300,Subprime,0.85,0.445,0
C100162,Metro,Salaried,23300,Near-prime,0.669,0.539,0
C100163,Metro,Salaried,61900,Near-prime,0.728,0.384,0
C100164,Tier-2,Self-employed,22500,Near-prime,0.61,0.361,0
C100165,Tier-2,Salaried,25200,Prime,0.652,0.337,0
C100166,Tier-3,Informal,21700,Thin-file,0.311,0.819,0
C100167,Tier-3,Gig,14000,Thin-file,0.559,0.573,0
C100168,Metro,Salaried,38800,Prime,0.826,0.185,0
C100169,Tier-3,Self-employed,29400,Prime,0.489,0.522,0
C100170,Metro,Salaried,41800,Thin-file,0.591,0.571,0
C100171,Tier-2,Salaried,31500,Prime,0.741,0.391,0
C100172,Metro,Self-employed,15000,Near-prime,0.552,0.538,1
C100173,Tier-3,Salaried,29500,Subprime,0.85,0.13,0
C100174,Metro,Salaried,98300,Prime,0.669,0.426,0
C100175,Metro,Salaried,63200,Near-prime,0.809,0.199,0
C100176,Tier-2,Salaried,32200,Near-prime,0.82,0.23,0
C100177,Tier-3,Self-employed,35700,Prime,0.709,0.364,0
C100178,Tier-3,Informal,21000,Subprime,0.425,0.685,0
C100179,Tier-2,Self-employed,23600,Near-prime,0.517,0.338,0
C100180,Tier-3,Informal,27900,Thin-file,0.397,0.758,0
C100181,Tier-3,Self-employed,31100,Prime,0.581,0.567,1
C100182,Tier-2,Salaried,33200,Thin-file,0.98,0.145,0
C100183,Metro,Gig,59000,Thin-file,0.437,0.653,0
C100184,Tier-3,Salaried,12600,Thin-file,0.98,0.05,0
C100185,Tier-2,Salaried,22500,Near-prime,0.772,0.376,0
C100186,Tier-2,Informal,25300,Thin-file,0.384,0.613,0
C100187,Metro,Self-employed,58300,Subprime,0.518,0.465,0
C100188,Tier-2,Informal,39800,Thin-file,0.295,0.953,0
C100189,Metro,Salaried,17200,Subprime,0.741,0.338,0
C100190,Tier-3,Gig,28500,Near-prime,0.496,0.531,0
C100191,Metro,Salaried,27200,Prime,0.766,0.238,0
C100192,Metro,Salaried,57400,Near-prime,0.98,0.089,0
C100193,Tier-3,Gig,18800,Thin-file,0.684,0.293,0
C100194,Metro,Self-employed,63100,Thin-file,0.616,0.19,0
C100195,Metro,Self-employed,38700,Prime,0.552,0.386,0
C100196,Tier-2,Gig,36500,Subprime,0.321,0.729,0
C100197,Tier-3,Gig,13300,Subprime,0.539,0.589,0
C100198,Metro,Salaried,45900,Near-prime,0.893,0.222,0
C100199,Metro,Salaried,51900,Near-prime,0.934,0.181,0
C100200,Tier-3,Informal,33700,Thin-file,0.362,0.6,0
C100201,Tier-3,Self-employed,42000,Subprime,0.428,0.645,0
C100202,Tier-2,Self-employed,37900,Near-prime,0.605,0.513,0
C100203,Metro,Salaried,63400,Prime,0.827,0.294,0
C100204,Metro,Salaried,77600,Near-prime,0.721,0.275,0
C100205,Metro,Informal,28000,Near-prime,0.496,0.617,0
C100206,Metro,Self-employed,27100,Near-prime,0.589,0.474,0
C100207,Tier-2,Gig,30700,Near-prime,0.524,0.491,0
C100208,Metro,Salaried,47000,Prime,0.795,0.149,0
C100209,Tier-2,Salaried,32600,Near-prime,0.755,0.272,1
C100210,Tier-2,Self-employed,24300,Near-prime,0.438,0.548,0
C100211,Tier-2,Gig,30100,Thin-file,0.662,0.288,0
C100212,Metro,Salaried,59900,Near-prime,0.687,0.329,0
C100213,Tier-3,Salaried,20700,Near-prime,0.461,0.546,0
C100214,Tier-2,Self-employed,21000,Thin-file,0.588,0.685,0
C100215,Tier-2,Salaried,89400,Prime,0.81,0.329,0
C100216,Metro,Salaried,70100,Prime,0.884,0.102,0
C100217,Metro,Self-employed,44800,Prime,0.628,0.533,0
C100218,Tier-3,Salaried,41900,Near-prime,0.771,0.322,1
C100219,Tier-2,Self-employed,28000,Subprime,0.621,0.294,0
C100220,Metro,Salaried,44000,Subprime,0.669,0.389,0
C100221,Tier-2,Gig,23400,Subprime,0.456,0.618,0
C100222,Tier-2,Gig,35700,Prime,0.615,0.408,0
C100223,Tier-3,Gig,10200,Thin-file,0.435,0.435,0
C100224,Metro,Self-employed,27200,Prime,0.62,0.218,0
C100225,Tier-3,Self-employed,16600,Subprime,0.546,0.578,0
C100226,Metro,Salaried,69800,Near-prime,0.679,0.378,0
C100227,Tier-2,Self-employed,33000,Near-prime,0.577,0.403,0
C100228,Tier-2,Salaried,25300,Subprime,0.739,0.416,0
C100229,Metro,Gig,26100,Prime,0.483,0.573,0
C100230,Metro,Salaried,35800,Prime,0.798,0.133,0
C100231,Tier-2,Self-employed,18100,Thin-file,0.354,0.712,1
C100232,Tier-3,Self-employed,50900,Prime,0.547,0.589,0
C100233,Tier-2,Self-employed,32300,Thin-file,0.674,0.157,0
C100234,Tier-3,Salaried,56800,Near-prime,0.943,0.214,0
C100235,Tier-3,Self-employed,15000,Thin-file,0.446,0.719,0
C100236,Tier-2,Self-employed,43300,Prime,0.459,0.646,0
C100237,Tier-3,Informal,9000,Thin-file,0.46,0.584,1
C100238,Metro,Self-employed,129400,Near-prime,0.733,0.343,0
C100239,Metro,Salaried,21800,Prime,0.662,0.294,0
C100240,Tier-3,Gig,43400,Subprime,0.265,0.697,1
C100241,Tier-3,Salaried,31600,Thin-file,0.792,0.403,0
C100242,Metro,Salaried,43800,Prime,0.649,0.346,0
C100243,Tier-2,Salaried,49800,Prime,0.966,0.05,0
C100244,Tier-2,Self-employed,22600,Prime,0.585,0.537,0
C100245,Tier-3,Self-employed,41100,Prime,0.449,0.405,1
C100246,Tier-2,Self-employed,50800,Prime,0.485,0.506,1
C100247,Tier-2,Gig,23300,Subprime,0.519,0.482,1
C100248,Tier-2,Self-employed,38700,Near-prime,0.557,0.496,0
C100249,Tier-2,Salaried,91000,Thin-file,0.773,0.335,0
C100250,Tier-2,Self-employed,46300,Thin-file,0.98,0.062,0
C100251,Tier-3,Gig,13600,Subprime,0.364,0.689,0
C100252,Tier-2,Self-employed,48400,Prime,0.698,0.206,0
C100253,Metro,Self-employed,33800,Near-prime,0.772,0.05,0
C100254,Metro,Self-employed,31000,Near-prime,0.755,0.269,0
C100255,Tier-2,Self-employed,43500,Prime,0.469,0.492,0
C100256,Tier-3,Salaried,20200,Thin-file,0.774,0.248,0
C100257,Metro,Gig,29500,Subprime,0.313,0.78,0
C100258,Metro,Salaried,64400,Thin-file,0.862,0.055,0
C100259,Tier-2,Salaried,90200,Near-prime,0.7,0.488,0
C100260,Metro,Gig,38500,Near-prime,0.543,0.564,0
C100261,Tier-3,Gig,10000,Subprime,0.678,0.355,0
C100262,Metro,Self-employed,23800,Prime,0.631,0.453,0
C100263,Metro,Self-employed,93600,Prime,0.629,0.361,0
C100264,Tier-3,Informal,11900,Near-prime,0.402,0.587,0
C100265,Metro,Salaried,24000,Prime,0.924,0.05,0
C100266,Metro,Self-employed,27400,Prime,0.529,0.281,0
C100267,Metro,Self-employed,61500,Near-prime,0.657,0.385,0
C100268,Metro,Self-employed,45300,Near-prime,0.676,0.203,0
C100269,Metro,Self-employed,57600,Near-prime,0.7,0.419,1
C100270,Metro,Informal,23300,Subprime,0.473,0.551,0
C100271,Metro,Salaried,29000,Thin-file,0.633,0.359,0
C100272,Metro,Salaried,21300,Near-prime,0.763,0.215,0
C100273,Tier-2,Self-employed,23700,Thin-file,0.387,0.452,0
C100274,Tier-2,Self-employed,36500,Subprime,0.571,0.526,0
C100275,Tier-2,Gig,13600,Subprime,0.587,0.515,1
C100276,Metro,Informal,36800,Near-prime,0.563,0.362,0
C100277,Tier-2,Gig,14800,Prime,0.421,0.678,1
C100278,Tier-3,Informal,9000,Near-prime,0.701,0.215,0
C100279,Tier-3,Salaried,31900,Prime,0.564,0.328,0
C100280,Metro,Salaried,67000,Thin-file,0.825,0.354,0
C100281,Metro,Salaried,93100,Prime,0.838,0.05,0
C100282,Metro,Gig,14000,Thin-file,0.58,0.284,0
C100283,Metro,Salaried,90300,Prime,0.817,0.148,0
C100284,Tier-2,Salaried,41500,Near-prime,0.777,0.324,0
C100285,Tier-2,Self-employed,26100,Prime,0.826,0.18,0
C100286,Metro,Salaried,64600,Subprime,0.631,0.521,1
C100287,Tier-2,Self-employed,63600,Prime,0.564,0.606,0
C100288,Tier-2,Gig,10900,Subprime,0.522,0.52,0
C100289,Metro,Salaried,39200,Prime,0.748,0.25,0
C100290,Tier-3,Self-employed,22600,Thin-file,0.486,0.651,0
C100291,Metro,Salaried,63100,Near-prime,0.846,0.312,0
C100292,Tier-3,Salaried,61500,Near-prime,0.8,0.125,0
C100293,Metro,Salaried,49200,Prime,0.98,0.166,0
C100294,Tier-3,Self-employed,25300,Near-prime,0.713,0.287,0
C100295,Tier-3,Self-employed,35300,Prime,0.749,0.29,0
C100296,Tier-3,Self-employed,26000,Near-prime,0.744,0.401,0
C100297,Tier-3,Gig,9000,Near-prime,0.376,0.593,0
C100298,Tier-3,Salaried,40200,Thin-file,0.725,0.434,0
C100299,Tier-2,Gig,36100,Near-prime,0.469,0.457,0
C100300,Tier-3,Self-employed,46800,Near-prime,0.756,0.298,0
C100301,Metro,Salaried,28300,Prime,0.793,0.107,0
C100302,Tier-2,Salaried,50200,Subprime,0.776,0.232,0
C100303,Tier-2,Salaried,76100,Prime,0.767,0.386,0
C100304,Tier-3,Salaried,99600,Thin-file,0.915,0.05,0
C100305,Tier-2,Salaried,47400,Prime,0.647,0.24,0
C100306,Tier-2,Salaried,59400,Near-prime,0.781,0.367,0
C100307,Tier-2,Informal,12100,Thin-file,0.64,0.356,0
C100308,Metro,Gig,17400,Thin-file,0.583,0.438,0
C100309,Metro,Self-employed,67100,Near-prime,0.568,0.555,0
C100310,Tier-2,Gig,9300,Thin-file,0.553,0.565,0
C100311,Tier-2,Informal,20300,Near-prime,0.258,0.663,0
C100312,Metro,Self-employed,81900,Near-prime,0.53,0.511,0
C100313,Tier-2,Self-employed,47600,Subprime,0.576,0.481,0
C100314,Tier-2,Self-employed,47500,Near-prime,0.474,0.559,0
C100315,Metro,Informal,23100,Thin-file,0.535,0.443,0
C100316,Tier-2,Gig,19300,Subprime,0.364,0.721,0
C100317,Tier-2,Salaried,100700,Thin-file,0.931,0.06,0
C100318,Metro,Gig,50300,Near-prime,0.587,0.475,0
C100319,Tier-3,Salaried,46700,Thin-file,0.692,0.352,0
C100320,Tier-3,Salaried,32300,Near-prime,0.711,0.38,0
C100321,Tier-2,Self-employed,26600,Near-prime,0.616,0.262,0
C100322,Metro,Gig,46900,Near-prime,0.634,0.433,1
C100323,Tier-2,Salaried,33300,Prime,0.768,0.43,0
C100324,Tier-3,Salaried,33000,Prime,0.907,0.256,0
C100325,Tier-2,Gig,30500,Near-prime,0.516,0.471,0
C100326,Tier-3,Salaried,35000,Near-prime,0.861,0.224,0
C100327,Tier-2,Gig,46500,Thin-file,0.705,0.296,0
C100328,Tier-2,Self-employed,19100,Prime,0.645,0.334,0
C100329,Metro,Self-employed,44400,Thin-file,0.48,0.588,0
C100330,Tier-2,Salaried,99900,Prime,0.752,0.274,0
C100331,Metro,Informal,35400,Thin-file,0.699,0.154,0
C100332,Tier-2,Informal,17300,Thin-file,0.381,0.763,0
C100333,Tier-3,Salaried,45700,Near-prime,0.539,0.552,0
C100334,Metro,Self-employed,42100,Near-prime,0.494,0.641,0
C100335,Tier-2,Gig,44800,Prime,0.486,0.621,0
C100336,Metro,Salaried,68800,Prime,0.84,0.323,0
C100337,Tier-2,Self-employed,23400,Thin-file,0.766,0.333,0
C100338,Metro,Gig,32100,Near-prime,0.411,0.527,1
C100339,Tier-3,Self-employed,34800,Thin-file,0.79,0.146,0
C100340,Metro,Informal,29200,Thin-file,0.54,0.465,0
C100341,Tier-3,Salaried,36800,Thin-file,0.915,0.05,0
C100342,Tier-3,Informal,20400,Near-prime,0.575,0.244,0
C100343,Tier-2,Informal,22900,Thin-file,0.397,0.548,0
C100344,Tier-3,Salaried,23100,Prime,0.98,0.182,0
C100345,Tier-3,Self-employed,23500,Near-prime,0.788,0.154,0
C100346,Tier-3,Self-employed,25700,Subprime,0.63,0.444,0
C100347,Metro,Gig,30100,Prime,0.7,0.264,0
C100348,Tier-2,Salaried,34100,Thin-file,0.98,0.072,0
C100349,Metro,Salaried,78100,Near-prime,0.907,0.105,0
C100350,Tier-2,Gig,15000,Subprime,0.269,0.703,0
C100351,Metro,Self-employed,19700,Thin-file,0.409,0.679,1
C100352,Tier-2,Self-employed,83700,Thin-file,0.658,0.34,0
C100353,Tier-2,Self-employed,23900,Thin-file,0.503,0.428,0
C100354,Tier-2,Informal,31100,Thin-file,0.356,0.683,0
C100355,Tier-2,Salaried,50200,Near-prime,0.812,0.386,0
C100356,Tier-3,Informal,11100,Subprime,0.402,0.573,0
C100357,Tier-3,Self-employed,27200,Thin-file,0.733,0.307,0
C100358,Tier-2,Informal,16700,Thin-file,0.579,0.545,0
C100359,Tier-2,Salaried,44800,Prime,0.647,0.404,0
C100360,Tier-3,Self-employed,20400,Thin-file,0.658,0.244,0
C100361,Metro,Gig,26700,Subprime,0.457,0.469,0
C100362,Metro,Gig,28400,Thin-file,0.615,0.244,0
C100363,Metro,Salaried,78100,Near-prime,0.753,0.274,1
C100364,Tier-2,Self-employed,28700,Prime,0.743,0.17,0
C100365,Tier-2,Salaried,24600,Near-prime,0.771,0.201,0
C100366,Tier-3,Salaried,25000,Near-prime,0.98,0.094,0
C100367,Tier-2,Gig,27300,Thin-file,0.555,0.473,1
C100368,Metro,Informal,10600,Near-prime,0.252,0.625,0
C100369,Tier-3,Self-employed,49500,Subprime,0.694,0.338,0
C100370,Tier-3,Salaried,32200,Near-prime,0.741,0.297,0
C100371,Metro,Salaried,57800,Near-prime,0.517,0.676,0
C100372,Tier-2,Salaried,42100,Prime,0.738,0.323,0
C100373,Metro,Salaried,35200,Near-prime,0.852,0.285,0
C100374,Metro,Gig,17700,Prime,0.621,0.614,0
C100375,Metro,Salaried,34700,Prime,0.867,0.303,0
C100376,Tier-3,Salaried,16200,Near-prime,0.778,0.16,0
C100377,Tier-2,Gig,27100,Near-prime,0.472,0.555,0
C100378,Tier-2,Salaried,35500,Thin-file,0.662,0.672,1
C100379,Tier-2,Self-employed,17300,Subprime,0.729,0.234,0
C100380,Tier-2,Self-employed,26200,Thin-file,0.711,0.33,0
C100381,Tier-3,Salaried,42800,Subprime,0.703,0.44,0
C100382,Tier-3,Self-employed,51600,Near-prime,0.812,0.277,0
C100383,Tier-2,Self-employed,19400,Near-prime,0.738,0.263,0
C100384,Tier-2,Self-employed,91400,Prime,0.74,0.406,0
C100385,Tier-3,Salaried,20700,Prime,0.777,0.134,0
C100386,Tier-2,Salaried,17700,Near-prime,0.98,0.05,0
C100387,Tier-3,Self-employed,63600,Prime,0.515,0.58,1
C100388,Metro,Salaried,29800,Subprime,0.503,0.441,1
C100389,Tier-3,Salaried,63300,Prime,0.898,0.281,0
C100390,Tier-2,Salaried,28300,Prime,0.906,0.211,0
C100391,Metro,Salaried,41700,Near-prime,0.891,0.286,0
C100392,Tier-2,Salaried,21200,Near-prime,0.942,0.304,0
C100393,Tier-2,Informal,33700,Near-prime,0.601,0.476,1
C100394,Metro,Self-employed,71900,Prime,0.778,0.133,0
C100395,Tier-2,Self-employed,25700,Subprime,0.672,0.415,0
C100396,Tier-3,Salaried,30800,Subprime,0.832,0.248,0
C100397,Metro,Salaried,64100,Prime,0.8,0.361,0
C100398,Tier-2,Gig,18700,Thin-file,0.662,0.31,0
C100399,Tier-2,Gig,42800,Thin-file,0.431,0.489,1
C100400,Metro,Informal,22500,Thin-file,0.434,0.584,0
C100401,Tier-3,Salaried,25200,Prime,0.644,0.548,0
C100402,Tier-3,Salaried,15600,Thin-file,0.866,0.21,0
C100403,Metro,Gig,16100,Subprime,0.735,0.294,1
C100404,Tier-3,Salaried,41600,Prime,0.675,0.365,0
C100405,Tier-3,Salaried,35500,Thin-file,0.568,0.484,0
C100406,Metro,Salaried,68700,Near-prime,0.773,0.391,0
C100407,Tier-3,Salaried,24800,Prime,0.821,0.25,0
C100408,Metro,Gig,13800,Thin-file,0.5,0.735,0
C100409,Tier-3,Gig,15500,Thin-file,0.365,0.687,0
C100410,Tier-2,Self-employed,86400,Prime,0.764,0.282,0
C100411,Tier-2,Salaried,24700,Near-prime,0.824,0.316,0
C100412,Metro,Gig,28400,Near-prime,0.755,0.299,0
C100413,Tier-3,Self-employed,9700,Prime,0.747,0.557,0
C100414,Metro,Gig,22800,Subprime,0.411,0.578,1
C100415,Metro,Self-employed,35700,Prime,0.683,0.338,0
C100416,Metro,Informal,27400,Near-prime,0.528,0.351,0
C100417,Tier-3,Salaried,27600,Prime,0.98,0.2,0
C100418,Metro,Self-employed,21700,Prime,0.546,0.693,0
C100419,Tier-3,Gig,14300,Thin-file,0.358,0.729,0
C100420,Tier-2,Gig,21100,Near-prime,0.525,0.674,0
C100421,Metro,Informal,15100,Near-prime,0.425,0.482,0
C100422,Metro,Salaried,32400,Prime,0.751,0.382,0
C100423,Metro,Gig,45400,Subprime,0.564,0.546,0
C100424,Tier-2,Salaried,28800,Prime,0.415,0.836,1
C100425,Tier-3,Self-employed,35200,Subprime,0.473,0.644,1
C100426,Metro,Salaried,43900,Prime,0.796,0.319,0
